loan_amount,rate_of_interest,property_value,income,Credit_Score,dtir1,term,anomaly_score,is_anomaly
96500,3.99,118000.0,1500.0,669,59.0,240.0,-0.02978638954476731,True
686500,3.99,678000.0,6540.0,628,61.0,300.0,-0.006370863849320285,True
1386500,4.75,1808000.0,25980.0,501,36.0,360.0,-0.10665145494076111,True
726500,4.5,1658000.0,14220.0,861,27.0,360.0,-0.008640892813177703,True
976500,3.75,1418000.0,32220.0,640,20.0,360.0,-0.07290192608189561,True
126500,2.75,188000.0,1260.0,573,54.0,360.0,-0.015422011945637859,True
406500,3.99,648000.0,62940.0,526,23.0,180.0,-0.08591434326892489,True
206500,2.875,2108000.0,9180.0,548,31.0,120.0,-0.12650219941358654,True
216500,2.99,398000.0,4320.0,690,30.0,156.0,-0.009197508676935806,True
396500,4.125,938000.0,19080.0,839,11.0,240.0,-0.04710208804509075,True
676500,3.5,5808000.0,13320.0,807,44.0,360.0,-0.03158495467571598,True
2006500,3.99,418000.0,38640.0,837,39.0,324.0,-0.08622326113984524,True
156500,5.375,198000.0,27360.0,556,6.0,360.0,-0.08042136876106998,True
436500,3.375,738000.0,17700.0,625,20.0,180.0,-0.031764415075882235,True
256500,6.24,1648000.0,18660.0,811,25.0,360.0,-0.06019045516572996,True
546500,3.5,908000.0,15060.0,552,29.0,240.0,-0.0072110218311610685,True
76500,3.99,158000.0,3660.0,687,29.0,120.0,-0.011425136682399306,True
96500,3.99,128000.0,2880.0,508,56.0,180.0,-0.020813434268177722,True
236500,3.99,1428000.0,3060.0,547,17.0,180.0,-0.03469896540095396,True
206500,3.25,568000.0,17100.0,601,33.0,120.0,-0.046593639191710445,True
306500,4.875,1518000.0,12840.0,515,5.0,360.0,-0.05267517416348011,True
756500,3.99,3808000.0,54000.0,698,16.0,180.0,-0.15470682165736116,True
1136500,3.5,1428000.0,16260.0,894,22.0,360.0,-0.06684673198371027,True
726500,3.625,2078000.0,16740.0,581,37.0,360.0,-0.007104221526844756,True
386500,3.99,488000.0,22740.0,734,24.0,180.0,-0.005570880630639485,True
966500,3.99,1808000.0,9480.0,808,57.0,360.0,-0.03809824372828141,True
656500,3.99,3308000.0,35820.0,534,16.0,360.0,-0.11669266865869843,True
626500,3.25,908000.0,16260.0,847,32.0,180.0,-0.03317067364619242,True
1356500,3.99,418000.0,39300.0,695,39.0,360.0,-0.02904424682063711,True
546500,3.25,908000.0,27420.0,502,6.0,180.0,-0.14559136095539316,True
406500,2.99,628000.0,9180.0,815,49.0,180.0,-0.014584584905507514,True
1056500,3.375,1168000.0,14820.0,612,36.0,360.0,-0.01216023492527385,True
1546500,3.99,2208000.0,21120.0,878,51.0,180.0,-0.15549067798325833,True
786500,3.99,1328000.0,11280.0,689,8.0,360.0,-0.019756437782633696,True
1186500,3.99,418000.0,75240.0,877,39.0,360.0,-0.05436739560523385,True
996500,4.99,1328000.0,149820.0,860,30.0,360.0,-0.09731569044560207,True
726500,4.75,1028000.0,52680.0,888,39.0,360.0,-0.04720415970879466,True
736500,3.375,1178000.0,27000.0,775,24.0,180.0,-0.08148229805472251,True
246500,4.625,328000.0,18480.0,810,46.0,180.0,-0.019831260240881776,True
226500,2.75,428000.0,17100.0,648,5.0,180.0,-0.09868844700730761,True
436500,3.625,548000.0,15480.0,521,31.0,180.0,-0.005040324989628142,True
96500,4.5,148000.0,4680.0,858,32.0,180.0,-0.003705235000998175,True
136500,3.75,188000.0,3600.0,509,42.0,120.0,-0.021714166645738553,True
446500,3.99,1028000.0,14880.0,848,27.0,180.0,-0.016903395974059654,True
486500,3.25,818000.0,12720.0,849,21.0,180.0,-0.02829930411190984,True
236500,3.125,308000.0,12300.0,891,9.0,180.0,-0.06718811368094424,True
106500,3.99,158000.0,20700.0,529,24.0,180.0,-0.031426049233269304,True
1496500,3.125,1998000.0,5760.0,666,39.0,360.0,-0.06772334027655791,True
86500,3.625,308000.0,3180.0,846,6.0,240.0,-0.026364397643336535,True
76500,4.75,118000.0,6540.0,818,26.0,180.0,-0.02420655397165483,True
66500,3.99,78000.0,15360.0,813,6.0,180.0,-0.07712317690879411,True
456500,3.125,658000.0,13260.0,575,39.0,180.0,-0.02983633063667157,True
286500,3.99,588000.0,14880.0,727,25.0,120.0,-0.026988155684943282,True
526500,3.375,768000.0,10560.0,535,37.0,180.0,-0.014881133695171633,True
486500,3.375,978000.0,22080.0,537,5.0,180.0,-0.12510070570839926,True
316500,2.99,758000.0,15780.0,554,12.0,120.0,-0.12586711063452105,True
436500,3.375,1208000.0,12660.0,599,45.0,240.0,-0.0048984729093016766,True
156500,4.25,338000.0,7680.0,578,8.0,180.0,-0.014238211330952821,True
316500,4.875,548000.0,11100.0,889,40.0,240.0,-0.01023642990836493,True
456500,3.75,508000.0,33420.0,830,11.0,360.0,-0.02152918084108435,True
936500,4.5,1508000.0,23700.0,725,43.0,360.0,-0.046184377020564216,True
106500,3.125,148000.0,11640.0,643,8.0,360.0,-0.01217365113054203,True
366500,2.99,728000.0,12300.0,731,21.0,180.0,-0.020702037354354053,True
76500,4.5,78000.0,2760.0,699,36.0,180.0,-0.014665647279099803,True
1456500,3.99,2508000.0,15600.0,896,17.0,360.0,-0.11948481097635677,True
446500,3.99,528000.0,9000.0,772,58.0,180.0,-0.012154418973014613,True
906500,3.5,1158000.0,13920.0,896,37.0,360.0,-0.013869242525612835,True
1276500,3.99,1258000.0,17280.0,568,42.0,300.0,-0.056887385494372,True
86500,4.375,138000.0,3720.0,563,40.0,96.0,-0.033054450802842084,True
396500,3.5,668000.0,31380.0,648,15.0,120.0,-0.10153782737354344,True
526500,3.25,768000.0,13140.0,598,31.0,180.0,-0.013896021409528059,True
666500,3.875,2308000.0,21120.0,659,46.0,360.0,-0.01886469992034001,True
726500,3.625,2058000.0,60420.0,713,7.0,240.0,-0.15501012308335704,True
486500,3.625,1448000.0,16140.0,665,27.0,180.0,-0.02816920572067716,True
296500,3.5,1008000.0,10680.0,628,11.0,180.0,-0.0441218240811001,True
406500,2.75,858000.0,19680.0,597,23.0,180.0,-0.06638218514352967,True
1046500,3.125,1288000.0,21480.0,884,29.0,360.0,-0.06427004693334726,True
436500,3.25,458000.0,9960.0,864,49.0,180.0,-0.011950545052068828,True
66500,4.75,68000.0,8340.0,790,38.0,180.0,-0.008570122672542646,True
86500,4.625,148000.0,2820.0,559,36.0,156.0,-0.04077682993510001,True
206500,3.99,378000.0,16620.0,755,12.0,96.0,-0.06916399704447584,True
136500,4.5,178000.0,6000.0,563,26.0,180.0,-0.0029033385616545893,True
206500,3.375,278000.0,3420.0,649,61.0,180.0,-0.006368990254501661,True
336500,3.375,738000.0,10560.0,869,20.0,180.0,-0.011785824086492647,True
126500,3.25,218000.0,3780.0,799,41.0,96.0,-0.004468166346129898,True
126500,3.5,228000.0,8880.0,583,27.0,120.0,-0.013205919866778104,True
126500,3.99,138000.0,5460.0,832,8.0,180.0,-0.031097934422571583,True
1156500,3.69,1578000.0,14280.0,770,44.0,360.0,-0.01871686557528318,True
216500,3.625,998000.0,3180.0,892,48.0,240.0,-0.00168313051108393,True
306500,2.75,628000.0,9120.0,524,28.0,180.0,-0.03180562927353281,True
716500,3.625,3258000.0,8760.0,687,47.0,360.0,-0.010052845395226995,True
256500,5.25,2808000.0,14280.0,735,40.0,360.0,-0.05477287581285195,True
246500,3.625,298000.0,21420.0,802,9.0,240.0,-0.04336286549065249,True
356500,4.99,348000.0,7740.0,625,61.0,240.0,-0.02170179763413016,True
626500,3.625,788000.0,30240.0,567,18.0,180.0,-0.09349681643087493,True
206500,4.625,1358000.0,16440.0,547,44.0,180.0,-0.06034840217119375,True
336500,4.125,678000.0,16200.0,552,28.0,132.0,-0.0377285312311646,True
336500,2.875,568000.0,13440.0,675,28.0,180.0,-0.021906758029104134,True
486500,3.25,1008000.0,18000.0,551,29.0,180.0,-0.04824752491636519,True
126500,4.5,268000.0,5760.0,536,48.0,120.0,-0.047956205750201764,True
1326500,3.75,1828000.0,36960.0,698,31.0,180.0,-0.13950303902668282,True
766500,3.25,1528000.0,24600.0,537,30.0,324.0,-0.06954207733211881,True
3006500,3.99,5258000.0,50580.0,620,42.0,360.0,-0.16697105116303257,True
596500,3.99,1868000.0,18540.0,614,8.0,360.0,-0.041989662130954675,True
96500,4.375,208000.0,4440.0,728,18.0,180.0,-0.0008089248480213085,True
1496500,3.875,1998000.0,23520.0,788,36.0,360.0,-0.06975839165692421,True
886500,4.99,1308000.0,16560.0,890,46.0,360.0,-0.05248889117736577,True
486500,3.625,1508000.0,16620.0,571,17.0,360.0,-0.0013670796000927465,True
886500,5.25,1728000.0,53880.0,663,24.0,360.0,-0.11214933401569094,True
106500,5.5,118000.0,4200.0,683,8.0,324.0,-0.042984263201777395,True
536500,4.125,828000.0,21660.0,723,29.0,180.0,-0.03073028052257787,True
86500,4.375,128000.0,3540.0,503,28.0,180.0,-0.01864402570038859,True
666500,3.375,708000.0,18060.0,627,33.0,180.0,-0.038783798679019155,True
256500,2.75,538000.0,12900.0,583,18.0,180.0,-0.04950903157760411,True
726500,3.99,2008000.0,2880.0,550,49.0,360.0,-0.004001778567179315,True
166500,4.375,408000.0,5100.0,874,55.0,180.0,-0.0011577788629307806,True
76500,3.125,168000.0,1800.0,868,40.0,180.0,-0.01361650917569801,True
1466500,3.75,2108000.0,57300.0,666,36.0,360.0,-0.13687931378089702,True
456500,3.125,578000.0,20460.0,795,19.0,180.0,-0.06287190849463054,True
106500,4.5,218000.0,2760.0,512,31.0,180.0,-0.016616608686934597,True
476500,2.99,708000.0,7620.0,740,38.0,180.0,-0.011349104967992907,True
66500,3.875,138000.0,2460.0,785,17.0,180.0,-0.012798031918024422,True
506500,2.975,1758000.0,33300.0,507,6.0,324.0,-0.1629783004701374,True
586500,3.5,1028000.0,23520.0,812,6.0,360.0,-0.0631962167162271,True
966500,3.99,1108000.0,28260.0,591,32.0,360.0,-0.040484385542275736,True
146500,3.625,328000.0,9840.0,722,8.0,180.0,-0.01684807808609723,True
1126500,5.5,1888000.0,26580.0,744,39.0,360.0,-0.11910544263604972,True
76500,3.99,138000.0,960.0,644,52.0,180.0,-0.012679217753004512,True
756500,3.25,1408000.0,22740.0,753,30.0,180.0,-0.0766251273452968,True
266500,3.125,638000.0,9960.0,675,37.0,120.0,-0.04650542932693169,True
636500,3.99,708000.0,2400.0,546,15.0,300.0,-0.015815752096173696,True
706500,3.625,1408000.0,39600.0,681,6.0,360.0,-0.0967697322146448,True
1236500,3.99,2058000.0,20160.0,529,36.0,360.0,-0.07740522184860144,True
206500,3.99,1208000.0,2700.0,735,57.0,180.0,-0.040539104114186486,True
336500,3.0,698000.0,8040.0,815,24.0,180.0,-0.023207332304487127,True
3576500,3.99,5208000.0,119340.0,751,25.0,360.0,-0.1542040810194475,True
966500,3.99,1628000.0,17160.0,825,39.0,360.0,-0.0102781248204592,True
36500,4.75,48000.0,1860.0,837,7.0,360.0,-0.01693943882048976,True
226500,2.875,708000.0,7140.0,608,24.0,180.0,-0.019882992148896772,True
936500,3.99,4438000.0,18300.0,738,46.0,360.0,-0.07877857965175639,True
816500,2.85,1438000.0,14040.0,866,32.0,360.0,-0.05721407841790094,True
766500,3.99,1208000.0,23340.0,735,5.0,300.0,-0.09213427237525418,True
276500,5.125,558000.0,14340.0,518,13.0,348.0,-0.01730080349018326,True
1006500,3.5,1468000.0,36900.0,688,23.0,180.0,-0.12880537358059396,True
396500,4.875,388000.0,10080.0,683,61.0,324.0,-0.0006723510160584478,True
436500,3.625,528000.0,25680.0,829,11.0,180.0,-0.07185379185230334,True
556500,4.625,1118000.0,21120.0,778,12.0,360.0,-0.021112862038086266,True
106500,4.625,178000.0,6060.0,751,25.0,180.0,-0.004911960331415055,True
106500,3.99,128000.0,4320.0,514,59.0,180.0,-0.025710060873751495,True
196500,3.125,358000.0,23100.0,821,13.0,120.0,-0.13709945334240403,True
726500,4.875,2108000.0,12360.0,715,44.0,360.0,-0.018369032496657667,True
346500,3.99,1008000.0,4440.0,551,53.0,180.0,-0.004825244065833845,True
726500,3.875,1368000.0,10500.0,514,44.0,240.0,-0.027434963840288873,True
126500,3.125,428000.0,11100.0,587,30.0,120.0,-0.05207476413687229,True
146500,3.75,338000.0,9000.0,527,14.0,180.0,-0.008023195752007717,True
626500,3.5,828000.0,59460.0,844,10.0,360.0,-0.07561977236282158,True
276500,3.99,378000.0,47760.0,543,11.0,180.0,-0.08951147590403874,True
136500,3.99,228000.0,2160.0,855,59.0,180.0,-0.013534113577136186,True
226500,4.75,1068000.0,13440.0,523,26.0,180.0,-0.044437592353171906,True
966500,3.375,1678000.0,24180.0,677,36.0,180.0,-0.09902344845064082,True
66500,4.375,88000.0,6000.0,883,7.0,324.0,-0.03322653864737202,True
336500,3.625,1488000.0,10920.0,827,6.0,360.0,-0.042622348977972346,True
286500,2.75,1008000.0,12120.0,567,26.0,180.0,-0.058941148198619175,True
386500,3.99,418000.0,21540.0,749,39.0,144.0,-0.020603255053921687,True
106500,4.625,778000.0,3660.0,661,37.0,120.0,-0.06127234045020913,True
126500,3.99,158000.0,1500.0,634,60.0,240.0,-0.010748992487652487,True
546500,3.75,678000.0,39480.0,779,10.0,360.0,-0.0395518134470495,True
96500,3.99,238000.0,8400.0,897,41.0,120.0,-0.023596356231333493,True
396500,3.125,1278000.0,12360.0,706,27.0,180.0,-0.02896082399941946,True
456500,3.99,988000.0,20400.0,750,25.0,180.0,-0.022413586330431556,True
236500,3.25,758000.0,6660.0,627,37.0,120.0,-0.020126860084077047,True
386500,2.99,668000.0,11820.0,509,36.0,144.0,-0.07168449343402761,True
726500,3.99,938000.0,27000.0,890,16.0,360.0,-0.034400949541182224,True
126500,3.75,368000.0,8280.0,871,7.0,240.0,-0.032440126458537555,True
486500,3.75,658000.0,18480.0,671,26.0,180.0,-0.001744661892285282,True
206500,3.375,268000.0,8460.0,526,6.0,180.0,-0.03541875099625924,True
526500,4.5,758000.0,23700.0,510,28.0,240.0,-0.07186333250747112,True
676500,5.5,1208000.0,6360.0,504,45.0,360.0,-0.008557516018353972,True
396500,3.625,1578000.0,18180.0,562,26.0,180.0,-0.05249301551266916,True
176500,4.125,288000.0,12720.0,642,6.0,180.0,-0.03108371867506865,True
116500,3.25,278000.0,5820.0,534,11.0,180.0,-0.03378576100471509,True
116500,3.99,208000.0,2100.0,509,17.0,180.0,-0.009549793467057754,True
606500,3.25,758000.0,19560.0,630,26.0,180.0,-0.04871864729484965,True
726500,4.375,3568000.0,14880.0,502,42.0,360.0,-0.07672146925899459,True
866500,3.99,2258000.0,13620.0,875,39.0,360.0,-0.04388782031413774,True
96500,4.75,128000.0,4200.0,711,48.0,180.0,-0.010683000492337724,True
206500,3.75,618000.0,7620.0,863,48.0,96.0,-0.014426988849494449,True
336500,3.5,498000.0,10440.0,780,5.0,324.0,-0.002047882670448975,True
56500,5.25,1508000.0,5580.0,564,43.0,360.0,-0.002255167000034697,True
1166500,4.625,1468000.0,13080.0,613,42.0,360.0,-0.012927245023613865,True
406500,3.25,908000.0,7380.0,673,60.0,180.0,-0.04352215302423168,True
76500,4.25,308000.0,4140.0,501,31.0,108.0,-0.0313619792420643,True
1806500,3.99,418000.0,21720.0,554,39.0,360.0,-0.013475809025093266,True
626500,2.875,908000.0,15060.0,710,27.0,180.0,-0.0587452480418299,True
1406500,3.99,2208000.0,20820.0,530,42.0,300.0,-0.12779815829989938,True
486500,3.0,998000.0,13920.0,596,21.0,180.0,-0.05764679962614905,True
926500,3.99,1458000.0,15000.0,823,25.0,360.0,-0.007376389094160274,True
66500,4.375,68000.0,6300.0,573,24.0,180.0,-0.009342932775932566,True
326500,2.875,508000.0,10980.0,578,22.0,180.0,-0.020994492728586667,True
636500,3.99,918000.0,19680.0,899,37.0,240.0,-0.025551385639498325,True
406500,2.975,2408000.0,12120.0,505,33.0,360.0,-0.04086558622151004,True
426500,3.125,1238000.0,10860.0,661,23.0,180.0,-0.04560841843381169,True
286500,3.125,508000.0,9660.0,775,13.0,180.0,-0.031084223228396324,True
1006500,3.99,2158000.0,22740.0,687,20.0,360.0,-0.0845511883466209,True
236500,3.5,3008000.0,51120.0,538,19.0,360.0,-0.10827650953379353,True
846500,3.99,1868000.0,12300.0,839,14.0,360.0,-0.06899298081883509,True
426500,2.99,998000.0,10800.0,651,35.0,180.0,-0.027233315909443223,True
706500,4.25,1098000.0,13740.0,767,32.0,180.0,-0.03347854460120547,True
1356500,3.99,3208000.0,19800.0,694,42.0,360.0,-0.08623438068089795,True
226500,2.99,958000.0,6060.0,781,37.0,144.0,-0.04576988855156361,True
436500,3.375,708000.0,10560.0,895,34.0,180.0,-0.02042145318951638,True
926500,3.5,1588000.0,15060.0,623,32.0,360.0,-0.0060821335293161916,True
456500,3.375,568000.0,28560.0,860,6.0,180.0,-0.11854010991489472,True
916500,3.99,1558000.0,20940.0,502,31.0,360.0,-0.03190078434527699,True
606500,3.75,1238000.0,28020.0,683,46.0,180.0,-0.06111026759296612,True
316500,3.99,448000.0,12240.0,755,49.0,156.0,-0.002899693556004279,True
56500,5.5,58000.0,2880.0,539,14.0,360.0,-0.007605341671500843,True
156500,3.5,198000.0,14700.0,884,24.0,180.0,-0.01561191117925409,True
466500,3.99,418000.0,26340.0,784,39.0,180.0,-0.009646526079228224,True
366500,3.625,458000.0,39000.0,861,13.0,360.0,-0.035002492470504465,True
556500,3.625,748000.0,55380.0,622,19.0,360.0,-0.012074230849701495,True
506500,2.75,838000.0,11880.0,890,36.0,180.0,-0.07083568282274044,True
206500,3.99,218000.0,20880.0,698,17.0,180.0,-0.008541965260963735,True
726500,3.75,1008000.0,25320.0,503,27.0,360.0,-0.0011369020489443438,True
876500,4.875,1158000.0,14520.0,581,41.0,360.0,-0.003428423598549002,True
936500,3.99,418000.0,28920.0,507,39.0,360.0,-0.015438350461934425,True
396500,3.75,1618000.0,9000.0,529,37.0,180.0,-0.016333228661108423,True
236500,3.125,478000.0,13800.0,876,11.0,180.0,-0.0590400425707277,True
786500,3.375,1228000.0,15420.0,640,40.0,180.0,-0.04707327644575621,True
346500,3.25,2128000.0,18660.0,706,13.0,180.0,-0.09937004721705722,True
136500,3.99,168000.0,14520.0,814,11.0,180.0,-0.04583784037391114,True
1026500,3.99,2708000.0,27780.0,601,32.0,360.0,-0.09348369231721188,True
146500,4.75,238000.0,2880.0,576,58.0,240.0,-0.022085985174350786,True
286500,3.99,648000.0,6660.0,527,52.0,120.0,-0.03991109717493868,True
576500,3.375,6508000.0,8820.0,669,43.0,360.0,-0.011763265265090972,True
686500,3.0,1358000.0,13320.0,732,23.0,360.0,-0.004462888028730183,True
136500,3.99,258000.0,2940.0,510,46.0,120.0,-0.016559533371552915,True
566500,3.99,658000.0,21240.0,848,6.0,360.0,-0.014007973703822563,True
526500,4.375,728000.0,20880.0,525,28.0,180.0,-0.06558238747806311,True
266500,3.25,928000.0,9300.0,637,20.0,240.0,-0.0025593333108158145,True
356500,4.75,498000.0,12420.0,697,31.0,180.0,-0.00625446543895436,True
1006500,3.99,2208000.0,18960.0,773,58.0,360.0,-0.08528603538104729,True
626500,3.5,708000.0,23400.0,705,16.0,240.0,-0.04162614945713816,True
366500,3.125,478000.0,10560.0,881,31.0,180.0,-0.0038182603071555965,True
436500,2.875,2008000.0,15600.0,605,41.0,96.0,-0.1266990538746684,True
916500,4.56,1228000.0,15840.0,862,49.0,360.0,-0.0344231670751699,True
886500,4.875,1268000.0,12000.0,515,49.0,360.0,-0.028514748551320968,True
496500,2.375,3368000.0,19620.0,635,36.0,360.0,-0.059717820598905624,True
176500,4.375,228000.0,8160.0,900,32.0,120.0,-0.041664552826233936,True
396500,3.0,568000.0,13560.0,817,20.0,180.0,-0.03448571157236002,True
346500,3.125,658000.0,12360.0,571,20.0,180.0,-0.04300620280750955,True
76500,3.99,88000.0,0.0,630,5.0,360.0,-0.0023355160032305644,True
726500,4.0,1458000.0,10980.0,519,44.0,180.0,-0.04497587305268658,True
986500,3.99,2408000.0,9420.0,803,30.0,180.0,-0.09538131573581965,True
756500,3.99,418000.0,24360.0,864,39.0,300.0,-0.001119022516301027,True
756500,3.99,3808000.0,11280.0,746,60.0,360.0,-0.08127491313549151,True
576500,3.99,1108000.0,22260.0,600,14.0,360.0,-0.014502689194138108,True
1206500,4.375,1618000.0,15000.0,792,40.0,360.0,-0.03439073038375562,True
206500,3.375,268000.0,13680.0,558,24.0,120.0,-0.05551973541323951,True
76500,4.25,158000.0,7260.0,505,44.0,144.0,-0.018267589459354805,True
586500,3.125,858000.0,12000.0,886,38.0,180.0,-0.0587929980819033,True
396500,2.875,808000.0,7080.0,607,41.0,180.0,-0.01792904886607838,True
256500,6.24,2608000.0,30780.0,544,37.0,360.0,-0.12696749344532132,True
1026500,3.99,1328000.0,44340.0,679,36.0,360.0,-0.03846181374912727,True
66500,4.5,258000.0,3660.0,647,10.0,180.0,-0.04380734548603704,True
256500,3.25,528000.0,10620.0,733,7.0,180.0,-0.032480797255029725,True
456500,2.875,628000.0,10500.0,653,41.0,180.0,-0.019606248465039555,True
546500,3.99,808000.0,20580.0,501,31.0,240.0,-0.0313135041295346,True
486500,4.5,618000.0,22920.0,798,6.0,360.0,-0.03156131013863839,True
696500,4.375,1458000.0,38400.0,695,13.0,360.0,-0.07669785865691015,True
2106500,3.99,3078000.0,86340.0,813,20.0,180.0,-0.1939116172921751,True
266500,3.375,998000.0,12300.0,631,10.0,180.0,-0.06015082839740782,True
266500,2.875,398000.0,9480.0,586,24.0,180.0,-0.012223790321590267,True
456500,3.0,858000.0,9840.0,866,34.0,180.0,-0.03942304829034837,True
356500,3.99,478000.0,28860.0,508,22.0,180.0,-0.05338405921124845,True
146500,2.99,398000.0,2640.0,898,42.0,180.0,-0.02279238935751826,True
296500,2.99,708000.0,10140.0,569,27.0,180.0,-0.019011537470293494,True
436500,2.99,758000.0,12480.0,530,28.0,180.0,-0.04526945393265824,True
286500,4.75,878000.0,24960.0,879,30.0,180.0,-0.08882637554756645,True
1396500,5.19,1958000.0,20220.0,621,41.0,360.0,-0.10352818762459637,True
206500,3.875,308000.0,7200.0,870,28.0,120.0,-0.00968917230045685,True
346500,3.375,538000.0,19920.0,544,16.0,180.0,-0.047926660258112874,True
406500,3.0,828000.0,10620.0,646,27.0,180.0,-0.015443027554120081,True
156500,3.375,328000.0,8040.0,562,30.0,120.0,-0.01459612047356007,True
296500,4.5,398000.0,35880.0,541,20.0,180.0,-0.07781493364327063,True
396500,3.875,1108000.0,32220.0,818,43.0,180.0,-0.045059683054188615,True
1266500,3.25,1648000.0,15420.0,719,36.0,360.0,-0.041540862357447805,True
